zcta,Total,Householder who is White alone,Householder who is Black or African American alone,Householder who is American Indian and Alaska Native alone,Householder who is Asian alone,Householder who is Native Hawaiian and Other Pacific Islander alone,Householder who is Some Other Race alone,Householder who is Two or More Races
12522,2091,1926,56,6,16,0,49,38
11412,10691,150,9902,31,107,5,199,297
11767,4788,4480,68,3,173,0,34,30
11792,2889,2802,34,1,26,2,10,14
10580,5995,5514,80,7,297,1,47,49
13794,44,43,0,0,0,0,0,1
14760,8358,7892,208,49,75,1,26,107
14845,8501,8103,147,10,173,1,9,58
10576,1861,1779,25,2,32,0,9,14
12443,1554,1495,19,1,25,1,3,10
12837,329,324,0,2,1,0,1,1
12548,552,485,34,1,6,0,16,10
13832,267,261,1,2,0,0,0,3
13661,612,603,1,0,0,0,1,7
14062,1346,1321,3,13,1,0,1,7
12054,6866,6548,107,6,128,1,17,59
12189,8303,7278,529,19,291,2,82,102
12950,342,335,0,1,1,0,1,4
13478,1203,1179,4,9,3,0,0,8
11236,31778,3188,26399,95,757,5,742,592
13614,121,121,0,0,0,0,0,0
11379,13881,12093,109,18,859,2,614,186
11414,10695,9577,229,20,285,2,450,132
12108,187,185,0,1,0,0,0,1
14004,4069,4031,9,9,6,0,2,12
13755,534,527,3,0,1,0,0,3
10119,0,0,0,0,0,0,0,0
13687,214,211,1,0,1,0,0,1
10459,15398,3678,5596,261,112,14,4655,1082
13646,895,872,2,8,2,1,1,9
12182,6332,5580,532,13,25,3,71,108
14068,2747,2496,87,2,146,0,2,14
14701,17097,15952,516,81,56,6,245,241
12110,7672,6834,269,14,429,0,49,77
13477,571,562,0,3,1,0,1,4
14754,266,263,0,1,0,0,0,2
14105,1805,1769,11,6,4,0,5,10
14819,273,266,1,1,1,0,0,4
10174,0,0,0,0,0,0,0,0
10467,35524,10258,14605,376,1814,22,6855,1594
10975,154,142,6,0,1,0,4,1
12571,3908,3731,39,10,56,0,33,39
13146,868,847,7,2,1,0,4,7
13806,78,77,0,0,1,0,0,0
11964,857,828,4,7,3,0,8,7
14728,418,412,1,1,0,0,2,2
10024,30836,26264,1616,52,1648,12,676,568
12996,895,883,2,0,1,0,0,9
13739,393,380,4,2,2,0,1,4
13642,3599,3514,20,17,8,2,8,30
14752,100,97,0,1,0,0,1,1
14788,63,63,0,0,0,0,0,0
11710,11787,11067,161,7,334,1,114,103
12835,1086,1063,6,4,1,0,2,10
13163,135,128,2,0,0,0,0,5
11232,8403,4182,497,144,1223,6,1871,480
12167,1007,973,10,1,2,0,5,16
13063,677,658,3,8,1,1,2,4
13662,7033,6702,28,183,47,0,12,61
12047,8756,8101,311,23,125,1,55,140
13846,135,127,1,0,4,0,1,2
11934,2412,2240,72,2,26,0,44,28
12064,232,222,2,0,3,0,3,2
12085,195,162,16,0,10,0,3,4
10014,19790,17754,351,35,1078,6,188,378
13835,602,591,1,1,1,0,1,7
11598,4098,3800,77,2,159,0,40,20
12094,827,813,0,4,1,0,1,8
14209,3954,2057,1640,19,87,2,60,89
14428,3167,3068,57,5,12,1,11,13
10963,871,799,39,3,7,0,14,9
13691,1163,1122,10,9,1,0,4,17
10950,12727,11640,366,33,273,3,274,138
14042,1617,1596,0,8,3,0,3,7
14877,170,170,0,0,0,0,0,0
10514,3893,3503,46,0,297,1,18,28
14809,967,942,5,5,2,1,3,9
12463,640,621,5,2,4,0,3,5
12738,135,118,5,3,0,0,1,8
13224,3754,2132,1352,20,97,3,63,87
14471,1201,1187,4,1,0,0,0,9
10910,9,8,0,0,1,0,0,0
12838,243,242,0,1,0,0,0,0
12952,262,257,1,1,1,0,2,0
13113,95,93,0,0,0,0,1,1
12037,1788,1706,37,3,10,0,13,19
12410,183,175,3,1,2,0,2,0
10710,9992,7034,1216,38,977,2,487,238
10918,4022,3423,271,14,121,1,131,61
11421,11845,5943,975,114,1597,10,2510,696
13037,3503,3430,16,17,9,0,5,26
13694,651,641,2,7,0,0,0,1
10153,0,0,0,0,0,0,0,0
12438,26,26,0,0,0,0,0,0
14219,5123,5009,49,14,15,0,12,24
14825,346,338,1,3,1,0,1,2
11766,4231,3985,42,3,137,1,29,34
12302,11439,11075,103,9,131,1,39,81
12144,8947,8033,452,23,270,1,36,132
14823,1510,1494,6,2,4,0,0,4
14903,3231,3102,51,7,38,1,5,27
12195,75,73,0,1,0,0,0,1
12803,3141,3083,20,5,10,0,7,16
12485,411,392,0,0,4,1,6,8
13751,78,78,0,0,0,0,0,0
14422,955,927,4,2,2,0,9,11
13207,5430,3214,1907,54,19,0,91,145
12941,590,584,1,2,0,0,0,3
12720,77,73,1,0,1,0,2,0
12819,163,157,2,0,0,0,0,4
13435,117,116,0,0,1,0,0,0
11794,0,0,0,0,0,0,0,0
10069,2696,1987,116,1,519,0,25,48
12156,344,335,0,0,2,0,0,7
13165,4286,4181,39,8,10,0,14,34
14212,4779,2558,1953,22,133,2,30,81
12151,313,298,4,3,2,0,3,3
12566,3894,3667,83,10,32,1,51,50
13669,6122,5950,17,58,39,0,5,53
10927,3425,1858,437,25,87,3,813,202
14513,5668,5227,203,19,23,1,121,74
11362,7020,4734,99,7,1970,0,114,96
14134,40,40,0,0,0,0,0,0
12872,18,17,0,1,0,0,0,0
13064,31,31,0,0,0,0,0,0
13654,839,829,2,4,1,0,0,3
14753,486,472,3,5,2,0,0,4
10605,7157,5951,552,17,307,1,195,134
11428,5540,1600,1399,30,1272,8,749,482
10506,1928,1844,19,3,47,0,5,10
14485,1660,1625,7,5,9,0,5,9
12534,7429,6284,763,22,144,3,97,116
13134,44,37,6,0,0,0,0,1
12811,47,47,0,0,0,0,0,0
13164,809,782,10,5,1,0,6,5
10545,1,1,0,0,0,0,0,0
13833,1679,1639,3,6,5,0,3,23
11221,28391,4707,17450,246,509,20,4317,1142
14416,1461,1437,5,2,2,0,4,11
10023,34383,28868,1432,55,2906,12,569,541
12766,179,170,4,1,2,0,0,2
14710,1424,1415,2,1,1,0,2,3
13029,2748,2669,24,11,12,0,3,29
13126,13642,13227,124,37,94,2,64,94
14529,31,31,0,0,0,0,0,0
12471,95,88,2,0,1,0,1,3
13452,1808,1790,3,4,2,0,1,8
10703,7421,4699,1267,22,342,8,877,206
12063,170,164,2,0,3,0,0,1
12921,957,936,10,1,3,0,0,7
13685,998,954,11,6,8,0,4,15
14843,5401,5211,86,12,26,2,17,47
13850,8983,8033,168,8,667,2,24,81
10913,1601,1430,15,0,117,1,25,13
12927,98,97,0,1,0,0,0,0
13902,0,0,0,0,0,0,0,0
14897,353,350,0,0,0,0,0,3
10103,0,0,0,0,0,0,0,0
10168,0,0,0,0,0,0,0,0
10994,2322,2006,58,2,203,3,22,28
12207,1062,315,638,6,29,0,43,31
14216,10811,8607,1605,71,144,2,181,201
10018,3065,1875,188,5,764,1,143,89
12414,4475,4016,270,17,36,1,56,79
12441,59,58,0,0,0,0,0,1
13066,5237,4937,84,10,141,0,15,50
11207,31118,3386,21654,274,273,33,4336,1162
13637,1703,1399,174,6,26,6,60,32
11415,8614,5776,722,22,1184,3,571,336
11795,8326,8100,30,4,103,1,34,54
13350,4107,3929,81,7,34,2,19,35
12424,121,116,0,0,3,0,1,1
12491,721,694,9,2,5,1,3,7
13667,1292,1256,5,13,3,0,0,15
10520,5197,4650,222,6,153,1,100,65
12528,5049,4563,231,12,91,4,65,83
13606,1019,1001,6,1,1,2,3,5
10282,2215,1814,57,2,263,1,35,43
14893,3,3,0,0,0,0,0,0
12031,63,61,0,1,0,0,0,1
14059,3558,3530,5,4,9,1,3,6
11419,12688,1951,2417,183,3849,27,2357,1904
12187,282,275,2,3,1,0,0,1
14108,2259,2206,18,7,6,0,7,15
11433,10230,486,8075,99,432,6,752,380
12726,482,464,8,1,3,0,4,2
12841,40,40,0,0,0,0,0,0
14414,2967,2854,36,11,20,0,15,31
14423,1910,1816,62,1,9,1,10,11
14804,587,575,0,0,5,0,0,7
11020,1908,1216,191,5,440,0,33,23
14210,6257,5593,373,46,27,2,124,92
11754,6711,6437,52,5,124,1,44,48
12945,271,263,2,1,1,0,0,4
14012,895,883,2,4,2,0,2,2
14878,296,293,0,1,0,0,1,1
14173,181,179,1,0,0,0,0,1
11722,9551,4730,2599,74,309,6,1383,450
12851,156,152,0,0,0,0,1,3
10033,18975,9331,1897,185,525,11,5734,1292
10597,326,320,1,0,4,0,0,1
14778,2,2,0,0,0,0,0,0
14836,406,399,1,1,0,0,1,4
13865,2448,2400,11,2,6,1,6,22
13090,11880,10887,540,34,235,3,44,137
12561,6132,5566,206,16,152,0,93,99
12974,707,692,1,0,2,0,3,9
11238,22648,9232,10623,74,1170,9,686,854
11776,8252,7435,201,13,317,0,198,88
11798,3928,764,2632,36,82,0,267,147
12051,1826,1759,38,1,6,1,7,14
12527,55,41,8,0,0,0,6,0
10901,8873,7749,380,34,333,2,269,106
11235,33886,28964,640,62,2794,2,966,458
13304,666,660,0,0,1,0,0,5
14047,2587,2528,15,21,6,1,3,13
13647,32,30,0,0,0,0,1,1
12986,2481,2437,10,16,5,1,3,9
14072,7936,7502,176,31,145,2,26,54
12305,2661,1989,466,18,52,1,68,67
14549,36,35,0,0,0,0,0,1
12920,1093,1081,1,4,4,1,0,2
13045,11217,10695,211,33,96,2,44,136
13795,1529,1485,12,2,8,0,6,16
12572,3758,3621,34,3,47,0,28,25
13102,37,36,0,0,1,0,0,0
11501,7536,6441,148,12,531,0,287,117
14872,254,248,2,0,2,0,0,2
11363,2669,1925,22,3,635,0,50,34
11566,11805,11143,137,12,326,0,111,76
10530,5878,4750,433,5,531,3,87,69
13636,103,102,0,0,0,0,0,1
11782,5703,5520,55,5,73,1,21,28
10472,22002,5732,7417,270,1031,30,6195,1327
13417,1681,1627,26,5,15,0,3,5
14170,917,908,2,2,1,0,1,3
12719,454,436,6,0,3,0,2,7
12033,3096,3031,22,5,13,0,8,17
14066,511,506,1,1,0,0,2,1
14585,71,71,0,0,0,0,0,0
14781,807,799,0,1,1,0,2,4
14821,1259,1243,3,1,0,0,0,12
10002,32925,13280,2589,142,12908,12,2909,1085
12411,212,205,1,0,2,1,0,3
12734,350,302,13,2,6,0,25,2
12863,220,217,0,0,0,0,1,2
12969,195,192,0,1,1,0,0,1
13733,2163,2128,3,5,3,1,8,15
10454,11978,3146,3848,228,66,10,3945,735
11743,15225,13654,760,18,440,3,197,153
10279,0,0,0,0,0,0,0,0
11418,11031,4811,1245,98,1993,18,2030,836
11978,1231,1080,68,5,10,2,47,19
13143,1015,979,7,7,3,0,2,17
14733,1675,1646,8,2,5,0,8,6
13333,26,24,1,0,1,0,0,0
11215,28077,22419,1685,81,1729,14,1285,864
11351,0,0,0,0,0,0,0,0
14892,3346,3281,17,10,5,0,2,31
11967,7992,6968,431,23,161,0,259,150
11360,8758,6867,127,7,1532,1,141,83
11554,12410,10568,334,9,1097,2,241,159
13615,491,483,2,1,1,0,0,4
10705,13494,6672,2771,131,654,14,2568,684
12089,32,32,0,0,0,0,0,0
13210,8339,5193,2021,38,733,6,115,233
14204,4117,766,3159,16,12,0,105,59
10312,21018,19494,177,29,935,5,219,159
11212,30201,1311,26081,167,198,7,1654,783
13024,0,0,0,0,0,0,0,0
13406,297,296,0,0,0,0,0,1
14020,9495,8928,326,40,61,1,44,95
10170,0,0,0,0,0,0,0,0
11772,16374,14080,912,43,270,2,729,338
11944,1772,1466,131,4,10,0,135,26
11955,1519,1392,47,3,32,0,27,18
12775,915,799,56,4,30,0,12,14
13483,89,87,0,2,0,0,0,0
10919,360,322,15,1,8,0,11,3
11214,32212,21845,392,75,7869,19,1526,486
12008,186,183,0,0,1,0,0,2
12427,149,145,2,0,1,0,1,0
13340,3281,3234,17,3,10,0,5,12
11933,2913,2716,133,0,20,1,31,12
12533,8394,7528,309,9,307,4,142,95
14418,554,545,4,0,0,0,1,4
11570,10002,8633,846,13,164,3,233,110
12158,2465,2303,76,7,38,0,8,33
13203,7205,4998,1369,85,391,3,123,236
14805,435,428,2,2,0,0,1,2
10003,28559,23557,679,41,3204,6,437,635
11216,23193,3247,17784,99,556,9,763,735
12093,680,665,7,3,0,0,0,5
10528,4602,4061,37,7,328,1,104,64
11024,2230,1902,36,3,110,0,57,122
12024,13,13,0,0,0,0,0,0
14622,5497,5112,220,13,47,0,47,58
11357,15149,12374,103,11,2171,0,321,169
13676,5336,5059,40,23,157,0,12,45
11223,28421,20890,1177,71,4485,9,1285,504
10577,776,740,9,0,20,0,3,4
11803,9690,8719,27,10,808,0,37,89
13456,1649,1630,6,1,2,0,3,7
13115,90,88,0,1,0,0,0,1
14476,864,843,7,6,1,1,1,5
14784,398,392,0,2,0,0,2,2
10998,1012,942,23,3,11,0,18,15
12466,1067,988,32,3,17,0,12,15
13054,597,588,0,4,1,0,0,4
12483,109,99,3,1,0,0,4,2
12791,328,316,6,0,4,0,2,0
14215,15778,2581,12647,40,120,4,116,270
10199,1,1,0,0,0,0,0,0
11693,4703,2842,1336,19,117,1,269,119
12139,130,128,0,0,0,1,0,1
10303,8239,3109,3233,62,556,4,964,311
10603,6749,3936,1829,34,400,3,363,184
10984,923,774,66,2,36,0,33,12
12060,633,619,5,2,1,0,3,3
12420,162,157,2,0,1,0,1,1
10111,0,0,0,0,0,0,0,0
12132,144,143,0,0,1,0,0,0
12762,189,171,6,1,0,0,9,2
12737,735,703,9,0,5,0,9,9
13145,794,777,1,3,2,0,3,8
14223,9832,9268,320,23,106,0,38,77
12143,2062,1958,49,3,10,0,22,20
12901,13331,12656,258,54,131,0,59,173
13348,604,595,0,2,2,1,1,3
14063,5317,5095,59,14,63,2,43,41
14592,41,40,0,0,0,0,0,1
11959,409,389,6,1,3,0,4,6
12419,287,279,2,1,2,0,1,2
12028,445,436,3,2,1,0,1,2
12520,1220,1170,9,1,16,0,6,18
12885,1935,1911,2,5,3,0,1,13
13842,192,184,3,0,0,1,0,4
10538,6162,5739,112,5,175,0,70,61
12758,1659,1550,41,12,14,0,27,15
14305,7126,4622,2201,110,38,3,39,113
11205,14690,6265,5827,89,714,7,1211,577
11777,3521,3226,38,5,181,0,43,28
13290,0,0,0,0,0,0,0,0
11509,1137,1112,5,0,11,0,8,1
14526,8012,7561,152,5,228,0,17,49
10928,1769,1346,227,11,30,0,111,44
11577,4255,3406,187,6,515,0,57,84
11801,12789,10111,122,18,1920,0,393,225
12547,1077,989,45,2,6,0,24,11
12781,127,123,1,0,2,0,1,0
11422,9408,928,7714,42,179,1,298,246
13864,491,480,2,3,2,0,1,3
14756,52,51,0,1,0,0,0,0
11935,1340,1296,18,0,6,0,14,6
14480,355,338,1,1,7,0,1,7
12856,89,89,0,0,0,0,0,0
14747,918,907,0,1,2,0,1,7
14859,401,393,1,2,1,0,0,4
10110,0,0,0,0,0,0,0,0
11962,212,200,3,0,5,0,4,0
12188,4637,4459,47,6,64,0,8,53
13354,1272,1255,2,4,2,1,0,8
12926,879,862,1,9,1,1,1,4
14028,627,609,1,6,5,1,0,5
13312,165,165,0,0,0,0,0,0
14548,1667,1631,8,4,4,0,6,14
10468,24909,6424,7220,377,1049,14,8114,1711
11356,7751,4468,192,23,1846,2,968,252
13410,91,87,0,0,0,0,0,4
12040,51,49,0,0,0,0,2,0
11952,1833,1754,26,1,15,0,27,10
12493,180,163,9,1,1,0,4,2
14614,47,25,21,0,1,0,0,0
10037,8885,736,7151,55,156,3,468,316
10507,2014,1701,77,6,69,0,121,40
13305,105,103,1,0,1,0,0,0
12964,68,67,1,0,0,0,0,0
12222,0,0,0,0,0,0,0,0
12910,689,678,2,6,0,0,1,2
14510,1976,1882,30,6,8,0,32,18
14544,790,782,1,3,0,0,1,3
11946,5247,4715,63,17,28,5,371,48
13338,522,510,3,1,1,0,2,5
14617,9502,8957,310,15,68,2,79,71
13343,672,668,1,0,1,0,0,2
13408,1083,1029,26,5,9,0,5,9
11796,1327,1296,11,1,10,0,5,4
13114,2422,2371,8,12,2,0,6,23
12125,599,586,7,1,3,0,0,2
12930,268,261,0,0,2,0,0,5
14820,280,276,0,0,0,0,0,4
10016,32173,24676,1159,46,5166,9,483,634
11377,31412,14766,1208,189,9894,12,3958,1385
12176,73,70,1,0,1,0,0,1
12194,82,81,0,0,0,0,0,1
12973,80,80,0,0,0,0,0,0
11369,11194,3830,2865,102,947,7,2766,677
11780,5273,5092,25,2,92,0,32,30
12733,204,175,21,0,4,0,3,1
13786,199,192,4,1,1,0,0,1
14525,1076,1061,5,3,2,0,2,3
13613,1079,1047,2,17,2,0,2,9
10035,12775,3501,5743,149,431,10,2309,632
12202,4322,1496,2408,21,64,1,185,147
12780,923,872,22,3,5,0,9,12
14775,1015,996,2,3,0,0,5,9
11738,5430,4917,143,11,167,3,109,80
10075,14622,13070,212,11,1012,2,102,213
13825,1427,1387,7,1,5,1,4,22
14724,909,902,0,0,0,0,2,5
12457,358,342,1,1,3,0,4,7
12980,557,546,0,6,0,0,0,5
12303,11969,10207,841,44,303,1,330,243
13084,1777,1688,9,51,8,2,0,19
14801,2060,2014,6,5,10,0,6,19
14466,685,673,2,0,2,0,2,6
10503,71,68,1,0,2,0,0,0
12585,302,288,10,0,1,0,1,2
13643,7,6,0,1,0,0,0,0
14623,9544,7328,729,25,1195,0,105,162
11720,9246,8205,239,7,490,1,202,102
11764,4239,4014,68,4,98,2,21,32
13638,139,131,3,0,2,0,1,2
14477,645,612,14,5,1,0,7,6
14613,5367,2509,2135,36,185,4,326,172
10511,841,785,23,0,9,0,16,8
11368,28861,9222,4912,337,3074,13,9478,1825
13317,1526,1476,20,4,6,0,5,15
13748,1548,1514,14,5,2,0,1,12
14058,833,760,18,4,2,0,37,12
14748,290,230,3,52,0,0,0,5
11942,1771,1697,21,2,14,0,30,7
12496,740,719,5,3,2,0,5,6
13668,1328,1292,2,8,7,2,1,16
14092,4749,4549,18,113,37,1,2,29
14855,295,290,1,1,1,0,1,1
11385,34843,24943,1123,193,1842,21,5634,1087
12072,1019,994,9,2,6,1,5,2
14132,2346,2201,13,107,1,0,2,22
11424,0,0,0,0,0,0,0,0
11956,177,172,1,0,0,0,3,1
12161,63,61,0,0,1,0,1,0
11957,353,344,2,1,2,0,2,2
11229,30601,23624,1675,45,4087,5,709,456
13673,854,782,32,7,8,2,9,14
14011,2411,2368,4,6,5,0,9,19
14901,5805,4812,764,26,26,1,40,136
10803,4261,3620,267,3,201,1,92,77
10915,44,39,3,0,0,0,0,2
12432,204,200,1,0,1,0,0,2
12578,871,843,10,3,10,0,3,2
13052,686,676,1,3,1,0,1,4
13809,633,626,1,0,2,0,2,2
11556,0,0,0,0,0,0,0,0
10916,1433,1328,45,4,17,0,20,19
11230,30859,23398,2787,80,2933,5,1116,540
11224,19774,13514,4077,83,770,7,927,396
13153,155,150,2,0,1,0,1,1
10309,10962,10317,83,3,375,2,125,57
13623,24,24,0,0,0,0,0,0
14803,491,482,2,0,4,0,0,3
13088,10163,9381,358,44,260,4,34,82
14735,1047,1033,3,3,1,0,2,5
10455,12880,3344,4063,198,77,9,4349,840
13092,985,966,6,2,4,0,2,5
14839,310,306,0,1,1,0,0,2
12454,125,125,0,0,0,0,0,0
12531,1213,1139,24,1,10,1,26,12
12828,3631,3569,18,5,3,0,12,24
13612,1107,1033,36,3,16,1,5,13
14580,20116,18980,379,28,485,5,85,154
11975,163,156,2,4,0,0,0,1
12787,192,170,9,1,3,0,7,2
11971,2439,2362,15,1,11,6,33,11
12401,14957,12584,1417,50,207,3,371,325
12831,6339,6159,65,12,44,1,19,39
12914,367,308,3,49,1,0,1,5
11970,249,246,2,0,0,0,0,1
12564,2694,2467,64,9,30,1,94,29
12812,76,74,0,0,0,0,0,2
12440,865,830,10,4,6,0,2,13
13332,960,945,3,3,0,0,0,9
12407,70,69,1,0,0,0,0,0
12911,15,15,0,0,0,0,0,0
12603,15593,12911,1450,34,641,4,304,249
13152,3248,3215,2,6,13,1,2,9
11705,2834,2710,37,5,44,0,19,19
13407,2293,2257,12,6,5,0,2,11
12481,600,572,11,0,5,0,6,6
10502,1916,1611,40,0,224,0,25,16
12433,224,217,1,0,3,0,2,1
14217,10837,10283,281,43,97,0,48,85
12164,174,171,1,1,0,1,0,0
12451,747,716,9,5,3,0,2,12
11691,19518,5949,10259,140,370,17,2050,733
13363,909,895,7,0,0,0,0,7
14207,9631,7008,1390,146,259,1,587,240
14881,102,96,2,0,3,0,0,1
12406,406,390,2,4,0,0,4,6
12529,1188,1163,10,1,6,0,5,3
12721,2410,2246,63,11,20,0,36,34
13640,136,134,0,0,0,0,0,2
13732,3149,3068,16,1,38,2,11,13
13750,447,436,4,0,1,0,1,5
12817,1027,1013,3,1,1,0,3,6
14214,8013,4093,3228,31,399,2,93,167
10278,0,0,0,0,0,0,0,0
12211,4379,4080,83,3,176,0,10,27
12604,2,2,0,0,0,0,0,0
13605,1828,1798,5,4,2,0,5,14
14055,563,557,1,1,1,0,0,3
10983,1920,1671,16,2,174,0,37,20
11701,9225,5368,3001,58,104,3,469,222
12025,2210,2172,7,7,5,1,3,15
12763,379,352,9,1,5,0,6,6
13342,74,72,1,0,0,0,0,1
13436,58,58,0,0,0,0,0,0
14895,4161,4080,15,10,14,1,8,33
12512,61,56,3,0,0,0,2,0
13491,1434,1408,3,3,6,1,2,11
14504,740,724,3,4,1,0,3,5
11980,1578,1477,48,3,25,0,11,14
12580,1625,1536,40,3,7,0,19,20
13021,16960,16139,495,49,73,4,55,145
14517,1160,1142,2,2,2,0,3,9
12574,156,145,4,0,2,0,1,4
10009,30182,20824,2491,115,3503,10,2206,1033
14779,2957,2350,16,497,11,2,21,60
14608,5230,1496,3172,35,151,5,196,175
10065,18544,16372,276,10,1452,3,190,241
12936,276,271,0,0,1,0,0,4
11951,4460,3789,366,17,53,2,139,94
13847,29,28,0,0,0,0,0,1
13624,1939,1904,16,3,1,0,2,13
12308,5862,4275,888,23,201,3,260,212
12473,340,338,0,0,0,0,0,2
12581,949,910,10,4,5,0,12,8
13454,291,289,0,0,0,0,1,1
10475,18534,4240,11917,96,203,9,1472,597
14737,1752,1722,2,10,4,0,4,10
14830,8517,8036,223,17,123,0,24,94
12417,234,217,10,0,1,0,1,5
12494,353,344,3,0,2,0,0,4
14837,2077,2041,14,4,1,0,0,17
14871,1831,1802,8,1,4,0,2,14
11102,14083,8946,1242,78,1851,8,1424,534
13159,2024,1973,12,8,12,0,6,13
12121,720,708,5,2,4,0,0,1
13062,76,72,2,0,2,0,0,0
13104,6006,5602,85,13,253,0,5,48
13209,5717,5486,65,51,34,1,24,56
13033,1337,1306,4,9,0,1,0,17
14031,3666,3584,21,7,34,1,6,13
14213,9254,5440,1788,151,606,13,984,272
14889,635,621,2,0,0,0,3,9
12847,293,286,2,0,1,0,0,4
12874,77,75,0,0,0,0,0,2
13076,860,852,2,1,0,0,1,4
13782,332,326,0,1,0,0,1,4
13122,417,408,3,1,1,2,0,2
10012,13338,10689,261,14,1827,3,224,320
13116,1404,1362,7,8,21,0,2,4
10590,2452,2347,25,1,47,1,13,18
11771,3737,3379,90,5,117,0,93,53
12022,411,407,0,1,0,0,0,3
14590,2171,2091,38,7,3,0,14,18
12983,3524,3419,31,24,19,0,4,27
12545,1954,1855,31,3,16,2,28,19
10931,362,222,52,33,11,0,11,33
13415,33,32,0,0,0,0,1,0
11548,427,321,8,1,72,0,11,14
10941,4898,3624,728,24,149,1,248,124
10965,5390,5076,48,8,163,4,61,30
11716,3795,3626,41,3,65,0,35,25
12439,147,143,1,3,0,0,0,0
13087,79,77,1,0,0,0,1,0
14721,94,93,0,0,0,0,0,1
14772,1557,1521,2,18,2,0,2,12
14802,505,456,11,0,28,0,3,7
10173,0,0,0,0,0,0,0,0
12569,3835,3602,102,5,47,1,30,48
13034,776,770,2,1,0,0,1,2
13202,2292,854,1096,17,207,0,52,66
14856,80,79,0,0,0,0,0,1
12307,2769,981,1165,24,103,7,314,175
12768,414,388,10,0,3,0,8,5
12416,124,121,0,0,1,0,1,1
14009,2379,2340,2,7,7,1,6,16
11361,10645,6700,429,4,3009,3,327,173
14842,320,318,0,0,0,0,0,2
11203,26420,846,24237,71,317,10,375,564
13080,1426,1405,1,5,5,0,2,8
13309,2359,2343,0,5,4,0,0,7
14826,866,852,3,0,1,0,0,10
14415,52,52,0,0,0,0,0,0
14865,1106,1090,5,2,2,0,4,3
10989,3493,2927,165,10,280,0,53,58
12480,313,293,6,3,4,0,3,4
13820,7978,7550,166,17,108,1,48,88
11426,6056,3570,313,14,1604,1,321,233
12746,327,307,5,5,3,0,0,7
14816,198,193,0,1,1,1,1,1
10162,801,744,9,0,38,0,4,6
10301,14719,8745,3499,89,849,8,1040,489
11204,25449,18304,210,38,5485,9,1037,366
12919,1248,1214,3,5,6,1,2,17
10960,6206,4622,1079,12,187,0,190,116
14425,4055,3870,67,11,46,2,25,34
11222,17033,14717,345,35,727,5,778,426
13418,93,91,0,0,0,0,1,1
12786,292,274,4,0,3,0,5,6
11434,20244,417,18377,98,220,7,552,573
12155,819,799,4,0,3,0,1,12
12405,318,308,4,2,1,0,2,1
10171,0,0,0,0,0,0,0,0
13325,360,356,0,2,1,0,1,0
12748,842,806,9,1,7,0,8,11
13802,261,258,0,0,0,0,0,3
11958,256,240,8,0,0,0,8,0
12134,1510,1477,1,3,4,1,4,20
14033,869,863,1,1,2,0,1,1
14040,847,841,0,0,1,0,0,5
14224,17062,16731,119,34,73,0,33,72
13620,800,791,3,2,0,0,3,1
13639,89,86,1,1,0,0,0,1
10452,24796,4565,9895,354,333,23,7974,1652
11786,1933,1845,18,1,48,0,8,13
12422,139,138,0,0,1,0,0,0
14112,27,26,0,1,0,0,0,0
14712,1418,1408,3,0,3,0,0,4
11725,9688,9046,60,6,453,1,55,67
11960,438,430,0,1,1,0,2,4
13123,127,125,0,2,0,0,0,0
14489,2825,2604,160,8,6,0,22,25
10034,15007,6602,2106,158,382,10,4693,1056
10953,97,94,0,0,1,0,2,0
11977,856,803,12,2,9,1,19,10
12722,71,70,0,1,0,0,0,0
11427,7683,2629,2108,35,1908,8,636,359
13480,1368,1341,6,2,2,2,0,15
11740,3405,3093,134,6,97,0,37,38
14714,173,168,2,0,0,0,0,3
13788,424,412,5,0,1,0,1,5
14080,1724,1706,6,5,2,0,1,4
14620,11439,8657,1613,34,729,5,137,264
10524,1536,1460,27,3,15,1,13,17
12057,708,697,1,0,5,0,3,2
13901,8797,7917,508,20,117,0,89,146
14127,11816,11546,81,20,112,2,13,42
14723,481,476,2,0,0,0,1,2
11717,13670,7036,2521,140,289,11,2961,712
14171,849,830,11,3,0,0,0,5
14475,88,85,1,1,0,0,0,1
13036,3448,3391,4,18,8,0,3,24
13744,443,427,1,1,5,0,2,7
10940,17345,11805,2905,92,332,5,1731,475
12184,2773,2688,34,4,19,0,16,12
12785,384,359,10,0,3,0,6,6
12834,2634,2588,16,4,7,0,6,13
10461,19772,13024,1535,101,1490,10,3000,612
13030,1623,1586,9,9,5,0,1,13
13416,894,885,3,0,1,0,2,3
13608,625,610,5,0,0,0,3,7
14061,132,118,4,9,0,0,0,1
14589,3134,2919,135,11,10,0,33,26
10453,25307,4180,10678,382,264,32,8146,1625
11703,5739,5067,307,4,182,1,120,58
10549,5956,4907,261,22,237,0,402,127
14143,506,496,4,3,1,0,1,1
12029,431,426,2,0,2,0,0,1
12501,962,879,29,2,14,0,22,16
14070,2085,1832,7,216,4,0,6,20
12090,2517,2467,11,5,8,0,7,19
12567,1186,1126,9,4,9,2,19,17
14085,2572,2541,9,8,8,0,3,3
14303,2783,1913,675,67,24,1,34,69
14718,810,804,0,1,2,0,1,2
11791,8131,6567,41,8,1418,1,35,61
12747,571,493,43,3,8,0,16,8
12821,119,117,0,0,0,0,1,1
10128,32306,26476,1539,42,2935,6,677,631
11378,12762,10178,171,39,977,5,1155,237
11565,3143,2883,75,0,101,0,56,28
