zcta,Total,Householder who is White alone,Householder who is Black or African American alone,Householder who is American Indian and Alaska Native alone,Householder who is Asian alone,Householder who is Native Hawaiian and Other Pacific Islander alone,Householder who is Some Other Race alone,Householder who is Two or More Races
12086,762,741,4,2,0,0,10,5
12871,1589,1545,12,6,3,0,15,8
12993,719,707,1,1,2,0,1,7
13136,211,210,0,0,0,0,0,1
10025,44432,30581,6152,156,3309,18,2687,1529
13155,248,243,1,2,0,0,1,1
13838,1907,1860,10,1,14,0,6,16
11220,29018,11460,1100,261,10059,8,5100,1030
11104,11831,7476,295,49,2525,6,1054,426
10535,210,170,12,0,9,0,14,5
12513,311,307,1,1,1,0,0,1
13315,542,534,1,1,1,0,0,5
11778,4438,4248,61,4,53,1,41,30
13495,967,944,9,1,3,0,4,6
13625,807,796,0,4,1,0,0,6
14043,10948,10619,142,26,72,2,25,62
14742,85,84,0,1,0,0,0,0
12193,805,791,2,1,1,0,1,9
13108,2426,2374,7,8,17,0,3,17
13790,8355,7436,368,19,330,4,67,131
11769,3679,3605,22,1,30,0,10,11
12553,9075,7219,955,17,242,6,449,187
12743,166,157,3,0,2,0,0,4
10801,14254,8182,3901,95,584,6,1009,477
10917,640,551,19,3,26,0,37,4
12147,220,218,2,0,0,0,0,0
12154,1073,1057,3,3,2,0,0,8
13147,463,448,1,0,0,0,14,0
12484,1144,1095,16,2,11,1,6,13
13316,2538,2501,10,6,3,0,5,13
14101,710,700,2,4,1,0,0,3
14604,1240,690,350,6,98,1,65,30
12934,426,422,0,2,1,0,0,1
13205,7656,3184,3810,101,257,0,98,206
10993,1618,1074,238,3,64,1,177,61
14609,17844,11289,5112,67,143,4,845,384
12448,196,189,1,0,2,0,2,2
14808,223,219,1,1,0,0,0,2
11218,25240,15941,2965,127,3612,10,1751,834
12035,325,321,1,2,0,0,1,0
14082,175,173,0,0,1,0,1,0
10920,2906,2434,75,7,307,0,47,36
10933,153,145,4,0,0,0,2,2
14551,2156,1870,198,9,7,1,38,33
10606,5755,3384,1018,30,408,2,701,212
14560,911,895,2,4,1,0,0,9
11516,2513,2275,54,0,81,0,85,18
