uid,city_name,offense_code,offense_type,offense_group,offense_against,date_single,longitude,latitude,location_type,location_category,census_block
5174807,Chicago,90Z,all other offenses,all other offenses,other,2018-06-17T07:26:00Z,-87.674502,41.770249,residence,residence,1.70317E+14
5174816,Chicago,22B,non-breaking/entering,burglary/breaking & entering,property,2018-06-17T07:43:00Z,-87.664658,41.79679,office,commercial,1.70316E+14
5174868,Chicago,13B,simple assault,assault offenses,persons,2018-06-17T09:35:00Z,-87.628612,41.892462,street,street,1.70311E+14
5174940,Chicago,23H,other theft,larceny/theft offenses,property,2018-06-17T13:00:00Z,-87.643599,41.828036,residence,residence,1.70318E+14
5175472,Chicago,520,weapon law violations,weapon law violations,society,2018-06-18T03:34:00Z,-87.576955,41.722449,street,street,1.70315E+14
5175475,Chicago,13A,aggravated assault,assault offenses,persons,2018-06-18T03:38:00Z,-87.613036,41.741161,residence,residence,1.70314E+14
5175485,Chicago,13B,simple assault,assault offenses,persons,2018-06-18T04:00:00Z,-87.585063,41.791711,street,street,1.70314E+14
5175565,Chicago,13A,aggravated assault,assault offenses,persons,2018-06-18T06:34:00Z,-87.628029,41.759306,street,street,1.70317E+14
5175791,Chicago,13B,simple assault,assault offenses,persons,2018-06-18T14:55:00Z,-87.62074,41.702495,street,street,1.70315E+14
5175833,Chicago,90Z,all other offenses,all other offenses,other,2018-06-18T15:51:00Z,-87.705182,41.849407,other,other,1.70313E+14
5175901,Chicago,13B,simple assault,assault offenses,persons,2018-06-18T17:30:00Z,-87.622622,41.800866,residence,residence,1.70318E+14
5175903,Chicago,12A,personal robbery,robbery,property,2018-06-18T17:30:00Z,-87.76161,41.874466,street,street,1.70313E+14
5175917,Chicago,13B,simple assault,assault offenses,persons,2018-06-18T17:45:00Z,-87.734936,41.884574,street,street,1.70313E+14
5175950,Chicago,23H,other theft,larceny/theft offenses,property,2018-06-18T18:25:00Z,-87.682102,42.009536,residence,residence,1.7031E+14
5176090,Chicago,23C,shoplifting,larceny/theft offenses,property,2018-06-18T21:45:00Z,-87.675049,42.019399,supermarket,retail,1.7031E+14
5176171,Chicago,13B,simple assault,assault offenses,persons,2018-06-18T23:38:00Z,-87.574721,41.726126,residence,residence,1.70315E+14
5176222,Chicago,23H,other theft,larceny/theft offenses,property,2018-06-19T01:00:00Z,-87.694857,41.979495,residence,residence,1.7031E+14
5176291,Chicago,23H,other theft,larceny/theft offenses,property,2018-06-19T03:00:00Z,-87.624538,41.750772,rapid transit,transportation,1.70314E+14
5176315,Chicago,250,counterfeiting/forgery,counterfeiting/forgery,property,2018-06-19T04:00:00Z,-87.714022,41.860171,other,other,1.70313E+14
5176414,Chicago,13B,simple assault,assault offenses,persons,2018-06-19T10:55:00Z,-87.753113,41.941484,residence,residence,1.70312E+14
5176563,Chicago,13B,simple assault,assault offenses,persons,2018-06-19T15:30:00Z,-87.688801,41.879001,school,education,1.70313E+14
5176673,Chicago,13B,simple assault,assault offenses,persons,2018-06-19T18:00:00Z,-87.621663,41.721763,green space,open space,1.70315E+14
5176722,Chicago,23H,other theft,larceny/theft offenses,property,2018-06-19T19:00:00Z,-87.670629,41.716623,residence,residence,1.70317E+14
5176898,Chicago,12U,other robbery,robbery,property,2018-06-19T22:56:00Z,-87.674377,41.852198,other,other,1.70313E+14
5176911,Chicago,23H,other theft,larceny/theft offenses,property,2018-06-19T23:00:00Z,-87.724943,41.858312,other,other,1.70313E+14
5176915,Chicago,290,destruction of property,destruction of property,property,2018-06-19T23:15:00Z,-87.612187,41.69388,residence,residence,1.70315E+14
5176936,Chicago,13B,simple assault,assault offenses,persons,2018-06-20T00:00:00Z,-87.664091,41.808615,hotel,hotel,1.70316E+14
5177146,Chicago,12A,personal robbery,robbery,property,2018-06-20T05:30:00Z,-87.679676,41.77155,street,street,1.70317E+14
5177227,Chicago,22A,breaking/entering,burglary/breaking & entering,property,2018-06-20T11:00:00Z,-87.619021,41.786644,residence,residence,1.70318E+14
5177309,Chicago,23H,other theft,larceny/theft offenses,property,2018-06-20T13:45:00Z,-87.649442,41.77195,private vehicle,vehicle,1.70317E+14
5177335,Chicago,13B,simple assault,assault offenses,persons,2018-06-20T14:30:00Z,-87.717676,41.860059,residence,residence,1.70318E+14
5177379,Chicago,35A,drug/narcotic violations,drug/narcotic offenses,society,2018-06-20T15:55:00Z,-87.689665,41.776351,street,street,1.70317E+14
5177467,Chicago,12B,commercial robbery,robbery,property,2018-06-20T17:10:00Z,-87.629427,41.882774,restaurant,leisure,1.70318E+14
5177601,Chicago,23C,shoplifting,larceny/theft offenses,property,2018-06-20T19:57:00Z,-87.764194,41.89486,other retail,retail,1.70313E+14
5177632,Chicago,26A,false pretenses,fraud offenses (except counterfeiting/forgery and bad checks),property,2018-06-20T20:30:00Z,-87.739626,41.884519,residence,residence,1.70313E+14
5177746,Chicago,35A,drug/narcotic violations,drug/narcotic offenses,society,2018-06-20T22:40:00Z,-87.742544,41.872682,street,street,1.70318E+14
5177754,Chicago,290,destruction of property,destruction of property,property,2018-06-20T23:00:00Z,-87.704359,41.778954,other retail,retail,1.70317E+14
5177785,Chicago,35B,drug equipment violations,drug/narcotic offenses,society,2018-06-20T23:21:00Z,-87.710811,41.874474,street,street,1.70313E+14
5177850,Chicago,13B,simple assault,assault offenses,persons,2018-06-21T00:30:00Z,-87.648612,41.721395,healthcare,healthcare,1.70317E+14
5178292,Chicago,240,motor vehicle theft,motor vehicle theft,property,2018-06-21T18:30:00Z,-87.660001,41.944393,street,street,1.70311E+14
5178467,Chicago,240,motor vehicle theft,motor vehicle theft,property,2018-06-21T23:00:00Z,-87.573855,41.765764,street,street,1.70314E+14
5178527,Chicago,13A,aggravated assault,assault offenses,persons,2018-06-22T00:40:00Z,-87.810809,41.949558,street,street,1.70312E+14
5178970,Chicago,290,destruction of property,destruction of property,property,2018-06-22T19:00:00Z,-87.653941,41.758332,street,street,1.70317E+14
5179054,Chicago,26B,teller machine fraud,fraud offenses (except counterfeiting/forgery and bad checks),property,2018-06-22T21:00:00Z,-87.571826,41.727177,residence,residence,1.70315E+14
5179140,Chicago,35A,drug/narcotic violations,drug/narcotic offenses,society,2018-06-22T23:03:00Z,-87.592751,41.758706,residence,residence,1.70318E+14
5179217,Chicago,520,weapon law violations,weapon law violations,society,2018-06-23T00:44:00Z,-87.682106,41.771154,residence,residence,1.70317E+14
5179236,Chicago,240,motor vehicle theft,motor vehicle theft,property,2018-06-23T01:00:00Z,-87.724675,41.888865,street,street,1.70312E+14
5179334,Chicago,13B,simple assault,assault offenses,persons,2018-06-23T03:36:00Z,-87.65653,41.980634,residence,residence,1.7031E+14
5179456,Chicago,13B,simple assault,assault offenses,persons,2018-06-23T06:32:00Z,-87.625561,41.896713,commercial vehicle,vehicle,1.70311E+14
5179501,Chicago,23H,other theft,larceny/theft offenses,property,2018-06-23T08:00:00Z,-87.792913,41.983605,street,street,1.70311E+14
5179565,Chicago,13B,simple assault,assault offenses,persons,2018-06-23T12:00:00Z,-87.727639,41.912585,residence,residence,1.70312E+14
5179850,Chicago,23H,other theft,larceny/theft offenses,property,2018-06-23T20:20:00Z,-87.755021,41.87915,vehicle parking,open space,1.70313E+14
5179863,Chicago,290,destruction of property,destruction of property,property,2018-06-23T20:30:00Z,-87.674403,41.770249,residence,residence,1.70317E+14
5180093,Chicago,13A,aggravated assault,assault offenses,persons,2018-06-24T02:00:00Z,-87.660838,42.004254,street,street,1.7031E+14
5180137,Chicago,23H,other theft,larceny/theft offenses,property,2018-06-24T03:00:00Z,-87.650193,41.889017,street,street,1.70312E+14
5180173,Chicago,520,weapon law violations,weapon law violations,society,2018-06-24T04:00:00Z,-87.55564,41.757014,residence,residence,1.70314E+14
5180217,Chicago,11U,sexual assault,sex offenses,persons,2018-06-24T04:52:00Z,-87.610124,41.866312,other,other,1.70313E+14
5180355,Chicago,23H,other theft,larceny/theft offenses,property,2018-06-24T08:07:00Z,-87.685022,41.696718,street,street,1.70318E+14
5180609,Chicago,26B,teller machine fraud,fraud offenses (except counterfeiting/forgery and bad checks),property,2018-06-24T18:10:00Z,-87.626156,41.891695,other retail,retail,1.70311E+14
5180641,Chicago,22A,breaking/entering,burglary/breaking & entering,property,2018-06-24T19:00:00Z,-87.717547,41.854342,residence,residence,1.70313E+14
5180681,Chicago,23H,other theft,larceny/theft offenses,property,2018-06-24T20:00:00Z,-87.639324,41.903776,street,street,1.70318E+14
5180849,Chicago,13A,aggravated assault,assault offenses,persons,2018-06-24T23:50:00Z,-87.614436,41.828762,residence,residence,1.70314E+14
5180875,Chicago,13A,aggravated assault,assault offenses,persons,2018-06-25T00:05:00Z,-87.653544,41.789716,other open space,open space,1.70317E+14
5181043,Chicago,23H,other theft,larceny/theft offenses,property,2018-06-25T04:01:00Z,-87.591639,41.739716,street,street,1.70318E+14
5181086,Chicago,12A,personal robbery,robbery,property,2018-06-25T05:35:00Z,-87.613381,41.651836,street,street,1.70315E+14
5181283,Chicago,23C,shoplifting,larceny/theft offenses,property,2018-06-25T14:30:00Z,-87.662992,41.73319,other retail,retail,1.70317E+14
5181303,Chicago,90J,trespass of real property,trespass of real property,society,2018-06-25T15:00:00Z,-87.585864,41.763782,other retail,retail,1.70314E+14
5181415,Chicago,22A,breaking/entering,burglary/breaking & entering,property,2018-06-25T17:30:00Z,-87.737787,41.876568,residence,residence,1.70313E+14
5181500,Chicago,35A,drug/narcotic violations,drug/narcotic offenses,society,2018-06-25T19:10:00Z,-87.733631,41.876077,street,street,1.70313E+14
5181621,Chicago,13A,aggravated assault,assault offenses,persons,2018-06-25T21:46:00Z,-87.615697,41.78321,street,street,1.70314E+14
5181633,Chicago,13B,simple assault,assault offenses,persons,2018-06-25T22:00:00Z,-87.693064,41.976774,street,street,1.7031E+14
5182058,Chicago,26C,impersonation,fraud offenses (except counterfeiting/forgery and bad checks),property,2018-06-26T13:00:00Z,-87.661454,41.941882,other,other,1.70311E+14
5182101,Chicago,13B,simple assault,assault offenses,persons,2018-06-26T14:00:00Z,-87.667154,41.89146,residence,residence,1.70312E+14
5182520,Chicago,12A,personal robbery,robbery,property,2018-06-26T23:20:00Z,-87.73356,41.89822,street,street,1.70318E+14
5182635,Chicago,23H,other theft,larceny/theft offenses,property,2018-06-27T02:21:00Z,-87.730174,41.909089,street,street,1.70312E+14
5182705,Chicago,90Z,all other offenses,all other offenses,other,2018-06-27T05:00:00Z,-87.618431,41.672614,residence,residence,1.70315E+14
5182798,Chicago,23H,other theft,larceny/theft offenses,property,2018-06-27T11:30:00Z,-87.649575,41.777072,residence,residence,1.70317E+14
5182854,Chicago,12A,personal robbery,robbery,property,2018-06-27T13:40:00Z,-87.622228,41.722697,street,street,1.70315E+14
5183026,Chicago,22A,breaking/entering,burglary/breaking & entering,property,2018-06-27T18:10:00Z,-87.544734,41.651152,residence,residence,1.70316E+14
5183079,Chicago,35A,drug/narcotic violations,drug/narcotic offenses,society,2018-06-27T19:04:00Z,-87.687822,41.7865,street,street,1.70318E+14
5183145,Chicago,12A,personal robbery,robbery,property,2018-06-27T20:15:00Z,-87.629795,41.766428,street,street,1.70317E+14
